kota_kabupaten;kecamatan;jumlah_penduduk;kepadatan_penduduk;jumlah_anak(0-17th);jumlah_usia_produktif(15-64th);jumlah_penduduk_pria;jumlah_penduduk_perempuan;jenis_fasilitas_olahraga;jumlah
Jakarta Timur;Pasar Rebo;240.991;18.355;71.959;170.36.00;118.458;116.615;tenis;0
Jakarta Timur;Pasar Rebo;240.991;18.355;71.960;171.36.00;118.458;116.615;sepak bola;2
Jakarta Timur;Pasar Rebo;240.991;18.355;71.961;172.36.00;118.458;116.615;kolam renang;0
Jakarta Timur;Pasar Rebo;240.991;18.355;71.962;173.36.00;118.458;116.615;bola voli;1
Jakarta Timur;Pasar Rebo;240.991;18.355;71.963;174.36.00;118.458;116.615;bulu tangkis;3
Jakarta Timur;Pasar Rebo;240.991;18.355;71.964;175.36.00;118.458;116.615;basket;1
Jakarta Timur;Pasar Rebo;240.991;18.355;71.965;176.36.00;118.458;116.615;atletik;0
Jakarta Timur;Pasar Rebo;240.991;18.355;71.966;177.36.00;118.458;116.615;tenis meja;0
Jakarta Timur;Pasar Rebo;240.991;18.355;71.967;178.36.00;118.458;116.615;golf;0
Jakarta Timur;Pasar Rebo;240.991;18.355;71.968;179.36.00;118.458;116.615;senam;0
Jakarta Timur;Pasar Rebo;240.991;18.355;71.969;180.36.00;118.458;116.615;gedung olahraga;0
Jakarta Timur;Pasar Rebo;240.991;18.355;71.970;181.36.00;118.458;116.615;stadion;0
Jakarta Timur;Pasar Rebo;240.991;18.355;71.971;182.36.00;118.458;116.615;gelanggang kecamatan;1
Jakarta Timur;Pasar Rebo;240.991;18.355;71.972;183.36.00;118.458;116.615;gelanggang kotamadya;0
Jakarta Timur;Ciracas;325.827;19.342;97.103;229.353;159.363;157.276;tenis;1
Jakarta Timur;Ciracas;325.827;19.342;97.103;229.353;159.363;157.276;sepak bola;2
Jakarta Timur;Ciracas;325.827;19.342;97.103;229.353;159.363;157.276;kolam renang;1
Jakarta Timur;Ciracas;325.827;19.342;97.103;229.353;159.363;157.276;bola voli;0
Jakarta Timur;Ciracas;325.827;19.342;97.103;229.353;159.363;157.276;bulu tangkis;5
Jakarta Timur;Ciracas;325.827;19.342;97.103;229.353;159.363;157.276;basket;1
Jakarta Timur;Ciracas;325.827;19.342;97.103;229.353;159.363;157.276;atletik;0
Jakarta Timur;Ciracas;325.827;19.342;97.103;229.353;159.363;157.276;tenis meja;0
Jakarta Timur;Ciracas;325.827;19.342;97.103;229.353;159.363;157.276;golf;0
Jakarta Timur;Ciracas;325.827;19.342;97.103;229.353;159.363;157.276;senam;0
Jakarta Timur;Ciracas;325.827;19.342;97.103;229.353;159.363;157.276;gedung olahraga;1
Jakarta Timur;Ciracas;325.827;19.342;97.103;229.353;159.363;157.276;stadion;1
Jakarta Timur;Ciracas;325.827;19.342;97.103;229.353;159.363;157.276;gelanggang kecamatan;2
Jakarta Timur;Ciracas;325.827;19.342;97.103;229.353;159.363;157.276;gelanggang kotamadya;0
Jakarta Timur;Cipayung;303.806;10.796;91.496;214.526;146.814;144.602;tenis;0
Jakarta Timur;Cipayung;303.806;10.796;91.496;214.526;146.814;144.602;sepak bola;3
Jakarta Timur;Cipayung;303.806;10.796;91.496;214.526;146.814;144.602;kolam renang;0
Jakarta Timur;Cipayung;303.806;10.796;91.496;214.526;146.814;144.602;bola voli;1
Jakarta Timur;Cipayung;303.806;10.796;91.496;214.526;146.814;144.602;bulu tangkis;3
Jakarta Timur;Cipayung;303.806;10.796;91.496;214.526;146.814;144.602;basket;0
Jakarta Selatan;Cilandak;229.571;12.774;62.278;164.028;111.708;113.624;tenis;1
Jakarta Selatan;Cilandak;229.571;12.774;62.278;164.028;111.708;113.624;sepak bola;0
Jakarta Selatan;Cilandak;229.571;12.774;62.278;164.028;111.708;113.624;kolam renang;0
Jakarta Selatan;Cilandak;229.571;12.774;62.278;164.028;111.708;113.624;bola voli;2
Jakarta Selatan;Cilandak;229.571;12.774;62.278;164.028;111.708;113.624;bulu tangkis;5
Jakarta Selatan;Cilandak;229.571;12.774;62.278;164.028;111.708;113.624;basket;2
Jakarta Selatan;Cilandak;229.571;12.774;62.278;164.028;111.708;113.624;atletik;1
Jakarta Selatan;Cilandak;229.571;12.774;62.278;164.028;111.708;113.624;tenis meja;0
Jakarta Selatan;Cilandak;229.571;12.774;62.278;164.028;111.708;113.624;golf;0
Jakarta Selatan;Cilandak;229.571;12.774;62.278;164.028;111.708;113.624;senam;8
Jakarta Selatan;Cilandak;229.571;12.774;62.278;164.028;111.708;113.624;gedung olahraga;1
Jakarta Selatan;Cilandak;229.571;12.774;62.278;164.028;111.708;113.624;stadion;0
Jakarta Selatan;Cilandak;229.571;12.774;62.278;164.028;111.708;113.624;gelanggang kecamatan;1
Jakarta Selatan;Cilandak;229.571;12.774;62.278;164.028;111.708;113.624;gelanggang kotamadya;0
Jakarta Selatan;Jagakarsa;377.606;14.775;111.897;267.456;182.355;180.736;tenis;1
Jakarta Selatan;Jagakarsa;377.606;14.775;111.897;267.456;182.355;180.736;sepak bola;2
Jakarta Selatan;Jagakarsa;377.606;14.775;111.897;267.456;182.355;180.736;kolam renang;0
Jakarta Selatan;Jagakarsa;377.606;14.775;111.897;267.456;182.355;180.736;bola voli;2
Jakarta Selatan;Jagakarsa;377.606;14.775;111.897;267.456;182.355;180.736;bulu tangkis;4
Jakarta Selatan;Jagakarsa;377.606;14.775;111.897;267.456;182.355;180.736;basket;1
Jakarta Selatan;Jagakarsa;377.606;14.775;111.897;267.456;182.355;180.736;atletik;1
Jakarta Selatan;Jagakarsa;377.606;14.775;111.897;267.456;182.355;180.736;tenis meja;0
Jakarta Selatan;Jagakarsa;377.606;14.775;111.897;267.456;182.355;180.736;golf;0
Jakarta Selatan;Jagakarsa;377.606;14.775;111.897;267.456;182.355;180.736;senam;8
